Main Image,Additional Image,Additional Image,Additional Image,Sku Config,Material Config,Supplier Sku,Supplier/Seller,Brand,Division,Category,Qtd Total,Qtd Available Site,Availability,SKU Curve,Material Simple,Size,Qtd,Gross Cost,Current Price,Original Price,Avg Age,Product Name,Division,Sourcing Type,Color,Gender,Itens aCR
https://static.minhaloja.com.br/p/-76392641-1-zoom.jpg,https://static.minhaloja.com.br/p/-76392641-2-zoom.jpg,https://static.minhaloja.com.br/p/-76392641-3-zoom.jpg,https://static.minhaloja.com.br/p/-76392641-4-zoom.jpg,GI283SHF32JBZ,32763136,183001NPPTO34,GIGIL,Gigil,Women Shoes,Bota,6280,6.280,100%,Triple A,"
32763136001; 
32763136002; 
32763136003; 
32763136004; 
32763136005; 
32763136006; 
32763136007","
35; 
39; 
37; 
40; 
36; 
38; 
34","
926; 
908; 
812; 
957; 
840; 
865; 
972",R$0,"R$89,27","R$189,99",null,Bota Feminina Bico Redondo Gigil Salto Baixo Zíper Preto,MP,Marketplace,Preto,feminino,"93,1"
https://static.minhaloja.com.br/p/-56166641-1-zoom.jpg,https://static.minhaloja.com.br/p/-56166641-2-zoom.jpg,https://static.minhaloja.com.br/p/-56166641-3-zoom.jpg,https://static.minhaloja.com.br/p/-56166641-4-zoom.jpg,US419SHF34LNH,32912244,7488504 32912244,USEVITTAL,USE VITTAL,Women Shoes,Bota,5780,5.780,100%,Triple A,"
32912244001; 
32912244002; 
32912244003; 
32912244004; 
32912244005; 
32912244006","
34; 
39; 
37; 
36; 
38; 
35","
990; 
978; 
937; 
936; 
961; 
978",R$0,"R$149,9","R$299,9",null,Bota Feminina  Vittal em Couro Cano Baixo com Ziper Lateral Café,MP,Marketplace,Marrom,feminino,"93,1"
https://static.minhaloja.com.br/p/-85524641-1-zoom.jpg,https://static.minhaloja.com.br/p/-85524641-2-zoom.jpg,https://static.minhaloja.com.br/p/-85524641-3-zoom.jpg,https://static.minhaloja.com.br/p/-85524641-4-zoom.jpg,NI288SHU41CPI,32847057,197863604343,NIKE.COM,Nike,Girl Kids Shoes,Tênis,1827,1.827,"74,56%",Triple A,"
32847057001; 
32847057002; 
32847057003; 
32847057004; 
32847057005","
34; 
38; 
35; 
36; 
37","
296; 
0; 
320; 
1211; 
0",R$0,"R$319,99","R$449,99",null,Tênis Nike Court Borough Low Recraft Infantil,MP,Marketplace,Branco,unissex,"91,14"
https://static.minhaloja.com.br/p/-5820897-1-zoom.jpg,https://static.minhaloja.com.br/p/-5820897-2-zoom.jpg,https://static.minhaloja.com.br/p/-5820897-3-zoom.jpg,https://static.minhaloja.com.br/p/-5820897-4-zoom.jpg,RE046APU14BEB,21825440,KM.MLCL.PREPRE.XG-IK2015,RELAXADO STORE,Relaxado,Casual Men Apparel,Moletom,4607,4.603,100%,Triple A,"
21825440001; 
21825440002; 
21825440003; 
21825440004; 
21825440005","
P; 
M; 
G; 
GG; 
XG","
959; 
919; 
865; 
915; 
949",R$0,"R$139,99","R$299,99",null,Conjunto Moletom Blusa De Frio E Calça Moletom Preto,MP,Marketplace,Laranja/Preto,unissex,"84,55"
https://static.minhaloja.com.br/p/-5047898-1-zoom.jpg,https://static.minhaloja.com.br/p/-5047898-2-zoom.jpg,https://static.minhaloja.com.br/p/-5047898-3-zoom.jpg,https://static.minhaloja.com.br/p/-5047898-4-zoom.jpg,SA057SHF94IZL,22963152,3852709 22963152,SANTA ROSA CALÇADOS,Santa Rosa,Women Shoes,Bota,469,460,100%,Triple A,"
22963152001; 
22963152002; 
22963152003; 
22963152004; 
22963152005; 
22963152006; 
22963152007; 
22963152008","
33; 
34; 
35; 
36; 
37; 
38; 
39; 
40","
92; 
52; 
21; 
22; 
21; 
28; 
95; 
138",R$0,"R$99,9","R$239,9",null,Bota Coturno Feminina Tratorada Chelsea,MP,Marketplace,Preto,feminino,"82,32"
https://static.minhaloja.com.br/p/-55323311-1-zoom.jpg,https://static.minhaloja.com.br/p/-55323311-2-zoom.jpg,https://static.minhaloja.com.br/p/-55323311-3-zoom.jpg,https://static.minhaloja.com.br/p/-55323311-4-zoom.jpg,NI288SHF44TVV,25676854,195866276000,NIKE.COM,Nike,Casual Women Sports Shoes,Tênis,2421,2.421,"97,67%",Triple A,"
25676854001; 
25676854002; 
25676854003; 
25676854004; 
25676854005; 
25676854006; 
25676854007; 
25676854008; 
25676854009; 
25676854010","
39; 
38; 
42; 
37; 
36; 
34; 
43; 
40; 
35; 
41","
213; 
609; 
0; 
560; 
511; 
106; 
0; 
141; 
281; 
0",R$0,"R$269,99","R$549,99",null,Tênis Nike Court Legacy Next Nature Branco,MP,Marketplace,Branco,feminino,"79,38"
https://static.minhaloja.com.br/p/-63294921-1-zoom.jpg,https://static.minhaloja.com.br/p/-63294921-2-zoom.jpg,https://static.minhaloja.com.br/p/-63294921-3-zoom.jpg,https://static.minhaloja.com.br/p/-63294921-4-zoom.jpg,HN705APF63TRO,27573245,6215684 27573245,HNO JEANS,HNO Jeans,Casual Women Apparel,Jaqueta,144,143,100%,Triple A,"
27573245001; 
27573245002; 
27573245003; 
27573245004","
P; 
M; 
G; 
GG","
21; 
8; 
69; 
46",R$0,R$138,"R$374,9",null,Jaqueta Jeans HNO Jeans Parka Premium Com Capuz Caqui,MP,Marketplace,Bege,feminino,"72,2"
https://static.minhaloja.com.br/p/-08075331-1-zoom.jpg,https://static.minhaloja.com.br/p/-08075331-2-zoom.jpg,https://static.minhaloja.com.br/p/-08075331-3-zoom.jpg,https://static.minhaloja.com.br/p/-08075331-4-zoom.jpg,RE046APM19YZW,27992195,KM.MLCL.PREPRE.G-IF2042,RELAXADO STORE,Relaxado,Casual Men Apparel,Moletom,4611,4.611,100%,Triple A,"
27992195001; 
27992195002; 
27992195003; 
27992195004; 
27992195005","
XG; 
GG; 
P; 
M; 
G","
953; 
926; 
956; 
902; 
874",R$0,"R$139,92","R$299,99",null,Conjunto Moletom Blusa De Frio E Calça Moletom Preto Estampa,MP,Marketplace,Branco/Preto,masculino,"69,35"
https://static.minhaloja.com.br/p/-26861131-1-zoom.jpg,https://static.minhaloja.com.br/p/-26861131-2-zoom.jpg,https://static.minhaloja.com.br/p/-26861131-3-zoom.jpg,https://static.minhaloja.com.br/p/-26861131-4-zoom.jpg,NI288SHF37HQS,27733455,196153962088,NIKE.COM,Nike,Casual Women Sports Shoes,Tênis,1414,1.414,"91,22%",Triple A,"
27733455001; 
27733455002; 
27733455003; 
27733455004; 
27733455005; 
27733455006; 
27733455007; 
27733455008; 
27733455009; 
27733455010","
34; 
36; 
35; 
37; 
38; 
39; 
40; 
41; 
42; 
43","
0; 
76; 
7; 
284; 
679; 
171; 
197; 
0; 
0; 
0",R$0,"R$369,99","R$649,99",null,Tênis Nike Court Legacy Lift Feminino,MP,Marketplace,Branco,feminino,"68,6"
https://static.minhaloja.com.br/p/-29360641-1-zoom.jpg,https://static.minhaloja.com.br/p/-29360641-2-zoom.jpg,https://static.minhaloja.com.br/p/-29360641-3-zoom.jpg,https://static.minhaloja.com.br/p/-29360641-4-zoom.jpg,LU774SHF07BCI,32638556,7434296 32638556,LUMISS,LUMISS,Women Shoes,Bota,69615,69.615,100%,Triple A,"
32638556001; 
32638556002; 
32638556003; 
32638556004; 
32638556005; 
32638556006; 
32638556007","
34; 
40; 
38; 
36; 
39; 
35; 
37","
9999; 
9984; 
9925; 
9911; 
9956; 
9960; 
9880",R$0,"R$149,9","R$249,9",null,Bota Feminina Lumiss Camurça Suede Cano Longo Enrugada Slouchy Salto Bloco Preto,MP,Marketplace,Preto,feminino,"68,6"
https://static.minhaloja.com.br/p/-51142641-1-zoom.jpg,https://static.minhaloja.com.br/p/-51142641-2-zoom.jpg,https://static.minhaloja.com.br/p/-51142641-3-zoom.jpg,https://static.minhaloja.com.br/p/-51142641-4-zoom.jpg,LU774SHF84BHZ,32726814,ALE1-PRETO-34,LUMISS,LUMISS,Women Shoes,Bota,69744,69.744,100%,Triple A,"
32726814001; 
32726814002; 
32726814003; 
32726814004; 
32726814005; 
32726814006; 
32726814007","
35; 
40; 
36; 
38; 
37; 
39; 
34","
9971; 
9993; 
9925; 
9956; 
9948; 
9974; 
9977",R$0,"R$149,9","R$249,9",null,Bota Feminina Lumiss Salto Alto Grosso Cano Alto Bico Quadrado Preto,MP,Marketplace,Preto,feminino,"62,72"
https://static.minhaloja.com.br/p/-06691231-1-zoom.jpg,https://static.minhaloja.com.br/p/-06691231-2-zoom.jpg,https://static.minhaloja.com.br/p/-06691231-3-zoom.jpg,https://static.minhaloja.com.br/p/-06691231-4-zoom.jpg,KI228SHM39DSM,27839057,152.001-25/39,LOJA KIDSTEP,Kidstep,Girl Kids Shoes,Bota,44885,44.885,100%,Triple A,"
27839057001; 
27839057002; 
27839057003; 
27839057004; 
27839057005; 
27839057006; 
27839057007; 
27839057008; 
27839057009; 
27839057010; 
27839057011; 
27839057012","
34; 
31; 
35; 
36; 
32; 
33; 
29; 
30; 
28; 
38; 
37; 
39","
4962; 
4971; 
4974; 
4981; 
4966; 
4956; 
4978; 
4973; 
4985; 
47; 
43; 
49",R$0,"R$84,9","R$159,9",null,Bota Coturno Cano Curto Tratorado Preto Infantil Kidstep,MP,Marketplace,Preto,menina,"57,82"
https://static.minhaloja.com.br/p/-13517701-1-zoom.jpg,https://static.minhaloja.com.br/p/-13517701-2-zoom.jpg,https://static.minhaloja.com.br/p/-13517701-3-zoom.jpg,https://static.minhaloja.com.br/p/-13517701-4-zoom.jpg,RE499APM68WFR,25084562,4948110 25084562,RESERVA OFICIAL,Reserva,Casual Men Apparel,Top Manga Curta,4353,4.352,"87,46%",Triple A,"
25084562001; 
25084562002; 
25084562003; 
25084562004; 
25084562005","
P; 
M; 
G; 
GG; 
GGG","
0; 
1271; 
1473; 
1085; 
524",R$0,R$89,R$119,null,Camiseta Algodão Estampada Sb Notificação Reserva,MP,Marketplace,Preto,masculino,"56,05"
